doc_number,document_type,document_date,recipient,author,sent_from,duplicate_incident,initial_entry_line,violence,assailant,victim,location,loc_coordinates,description,incident_date,incident_date_exact,original_status,swjp_page,,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
44,Letter,1764-01-20,Lords of Trade,S. William Johnson,Johnson Hall,yes,48,Murder,"""a number of riotous persons""","""the Friendly Conestoga Indians""",Conestoga Town,"39.95984, -76.4004","""The late Murder committed on the Friendly Conestoga Indians, residing in, and under the protection of Pennsylvania, by a number of riotous persons, who, without any cause, surprised and killed six of these peaceable people, occasioned Mr. Penn to issue a proclamation for discovery of the Authors thereof, and to place the rest of that people in Lancaster, where they were lodged in the workhouse for better security. But the Rioters not alarmed at the Proclamation, came in a body armed, broke open the Work house, and barbarously murdered 14 more of these Indians, and even threaten to come down to the City of Philadelphia, and kill a number of peaceable and well disposed Indians taken into, the protection of that City.""",12/14/1763 and 12/27/1763,1763-12-14,reprint,299,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
45,Letter,1764-01-31,S. William Johnson,Thomas Gage,New York,yes,53,"""Attacks""",Creeks,Unknown Euroamericans ,"""the Back of Carolina""","38.998211, -72.224698","""Notwithstanding what I related to you in my last concerning the Congress at Augusta, I see by the Carolina Papers, that the Creeks have begun Hostilities against us on the Back of Carolina. But I hear Nothing of any Attacks on the Cherokees or the Chickesaws or Chacktaws, tho it was said that the Creeks had murdered some Men of this last Nation.""",,,original,315,,0,0,0,,,,,,,,,,,
45,Letter,1764-01-31,S. William Johnson,Thomas Gage,New York,yes,53,Murder,Creeks,Unknown Euroamericans ,"""the Back of Carolina""","38.998211, -72.224698","""Since the above I have a Letter from Mr. Steward, the Creeks disown their Nation being concerned in the Murders, th'o committed by People of their Nation; whom they represent as Renegadoes, & promise to put them to Death if they meet them…Beg no war may be commenced on this Acct.""",,,original,315-316,,0,0,0,,,,,,,,,,,
46,Letter,1764-02-06,S. William Johnson,Francis Wade,Philadelphia,yes,,"""riotous attempts""",Unknown,"""friendly Indians""",Philadelphia,"39.952778, -75.163611","""on the recent alarm occasioned by riotous attempts against friendly Indians under the protection of the city""",,,missing,320,,39.952499,-75.163837,0.99,rooftop,1400,John F Kennedy Blv,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
47,Letter,1764-02-09,John Penn,S. William Johnson,Johnson Hall,yes,48,Murder,"""the murderers of the Conestoga Indians""",Conestoga Indians,Conestoga Town,"39.95984, -76.4004","""As great part of the Five Nations were lately here, I took the opportunity of giving them a just representation of the Massacre of the Conestoga Indians, explained your proclamations thereon, & assured them of your Resolutions.""",,,original,323,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
48,Letter,1764-02-15,S. William Johnson,Thomas McKee,Lancaster,yes,48,Murder,"""the murderers of the Conestoga Indians""",Conestoga Indians,Conestoga Town,"39.95984, -76.4004","""from Thomas McKee, Lancaster, condemning the massacre of the Conestoga Indians""",,,missing,326,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
48,Letter,1764-02-15,S. William Johnson,Thomas McKee,Lancaster,yes,55,Attempted murder,"""rioters""",Unknown Indigenous,Philadelphia,"39.952778, -75.163611","""discussing the attempt of rioters to destroy certain Indians under the protection of the city of Philadelphia""",Approx. since 02/06/1764,1764-02-06,missing,326,,39.952499,-75.163837,0.99,rooftop,1400,John F Kennedy Blv,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
49,Letter,1764-02-17,S. William Johnson,John Penn,Philadelphia,yes,55,Attempted murder,"""a very considerable number of armed Men""",Unknown Indigenous,Philadelphia,"39.952778, -75.163611","""am now to acquaint You that the Indians, who were refused a passage thro' New York, returned safe to Philadelphia under an Escort of a party of Royal Americans…It was very fortunate they were under the protection of that Guard, otherwise I fear they would have been all put to death by a very considerable number of armed Men, who came last Week from the Frontiers, as far as Germantown, on that horrid Design, but were happily diverted from putting it in Execution.""",Approx. since 02/06/1764,1764-02-06,original,327,,39.952499,-75.163837,0.99,rooftop,1400,John F Kennedy Blv,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
50,Letter,1764-02-27,John Penn,S. William Johnson,Johnson Hall,yes,55,Attempted murder,"""the Rioters""",Unknown Indigenous,Philadelphia,"39.952778, -75.163611","""last night concerning the persecuted Indians now in Philadelphia. The Rancour with which they have been pursued by the Rioters is as Extraordinary, as it may be dangerous to the public, and least their designs might be put in Execution I cannot but approve of your proposal of sending them hither, for should they fall a sacrifice to unjust resentment It must certainly occasion a breach with all the Friend Indians.""",Approx. since 02/06/1764,1764-02-06,,,,39.952499,-75.163837,0.99,rooftop,1400,John F Kennedy Blv,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
51,Letter,1764-02-28,S. William Johnson,"Henry Monture, John Johnson, William Hare",Auqvauge,yes,61,Kidnapping,"Monture, Johnson, Hare, other Indigenous and individuals",Unknown Indigenous,Auqvauge,"42.125736, -75.643065","""Three Days after our Arrival at this our Settlement We Were Informed that a Body of our Enemies Were Arrived here and going Down Under some Pretence to the River but on the Contrary we Suspect to Do Damage as they formerly have Done to kill burn & Destroy being Noted for Murdering Notorious Villans. Last Night we Seised Seven of there Chief Warrours here in our Castle and the famous Captain Bull of their party after some Little Resistence bound them hand and feet. This Morning we all set out for their Incampment and Unbeknowing to them about Day seised Eleven Men of their Warriours and Eight Women & three Children which Make twenty Nine in Number.""",,,reprint,344,,42.126935,-75.643909,0.98,rooftop,2214,State Rte 79,,,Harpursville,NY,Broome County,13787,US,Broome
52,Letter,1764-03-02,John Bradstreet,S. William Johnson,Johnson Hall,yes,61,Kidnapping,"""the First [war] party I lately sent out""",Delawares,"""near the main branch of Susquehanna""","42.125736, -75.643065","""an Express being Just arrived with letters acquainting me that on the 26th ulto. in the evening near the main branch of Susquehanna as they were pursuing their Rout, they received advice that a large party of our Enemys the Delawares, were encamped at a Small distance on their way against Some of the Settlements hereabouts; upon which intelligence they made an Expeditious march, to their Encampment which they surrounded at Day break, then rushing upon the Delawares, (who were surprised & unable to make a Defence) they made them all prisoners to the number of 41, including their Chief Capt Bull, son to Teedyuscung, & led several partys against them during the present Indian War.""",Approx. 02/26/1764,1764-02-26,reprint,349,,42.126935,-75.643909,0.98,rooftop,2214,State Rte 79,,,Harpursville,NY,Broome County,13787,US,Broome
53,Letter,1764-03-02,Cadwallader Colden,S. William Johnson,Johnson Hall,yes,61,Kidnapping,"""the First [war] party I lately sent out""",Delawares,"""near the main branch of Susquehanna""","42.125736, -75.643065","""an Express being just arrived with letters acquainting me that on the 26th ulto in the evening near the main branch of Susquehanna, as they were pursuing their route they received advice that a large party of our Enemies the Delawares were encamped at a small distance on their way against some of the settlements hereabouts upon which intelligence they made at Expeditious march to their Encampment which they surrounded at day break, then rushing upon the Delawares (who were surprized & unable to make a Defence) they made them all prisoners to the number of 41 including their Chief Capt Bull, son of Teedyuscung, & one who has discovered great inveteracy against the English & led several partys against them during the present Indian War.""",Approx. 02/26/1764,1764-02-26,reprint,350,,42.126935,-75.643909,0.98,rooftop,2214,State Rte 79,,,Harpursville,NY,Broome County,13787,US,Broome
54,Letter,1764-03-02,Thomas Gage,S. William Johnson,Johnson Hall,yes,61,Kidnapping,"""the First [war] party of Indians I sent out""",Delawares,"""the Main branch of Susquehanna River""","42.125736, -75.643065","""that on the 26th ulto as they were pursuing their rout & had reached the Main branch of the Susquehanna River, they received intelligence that a large party of the Delawares our Enemy were near at hand on their way against some of the Settlements: that thereupon they made all the haste possible, & by break of day next morning arrived at the Indians encampment which they imediately surrounded and rushing upon them made the Whole party prisoners to the number of 41...among the prisoners is Capt Bull the head of their party & Son to Teedyuscung; he has been principally concerned in the whole War, and has done much mischief.""",Approx. 02/26/1764,1764-02-26,reprint,351-352,,42.126935,-75.643909,0.98,rooftop,2214,State Rte 79,,,Harpursville,NY,Broome County,13787,US,Broome
55,Letter,1764-03-04,S. William Johnson,Thomas Gage,New York,yes,65,Kidnapping,Mississaugua Indians,Unknown Euroamericans ,Oswegatchi,"44.625556, -75.465278","""I don't know whether I Mentioned to you a Circumstance of the Messessaga Indians, who carried away four of our People from Oswegatchi. The Oswegatchi Indians promised to get them back, but have not done it.""",,,reprint,355,,44.630444,-75.463612,0.88,nearest_street,76,Taylor Rd,,,Ogdensburg,NY,St. Lawrence County,13669,US,TIGER/Line® dataset from the US Census Bureau
56,Letter,1764-03-08,S. William Johnson,Thomas Gage,New York,yes,66,Murder,"""a small Scalping Party""",Unknown Euroamericans ,Fort Pitt,"40.44064, -80.00957","""As you have White-Men with your Partys, I conclude there will be no Danger if they go near Fort Pitt. I have just heared from thence, that a small Scalping Party was out, and had killed one man with an Arrow.""",,,reprint,358,,40.440644,-80.009644,1,rooftop,601,Commonwealth Pl,,,Pittsburgh,PA,Allegheny County,15222,US,Allegheny
57,Letter,1764-03-14,S. William Johnson,H. Van Schaack,Albany,yes,67,Rioting,Civilians,Officers and men of the 55th and Royal Artillery,,"38.998211, -72.224698","""giving details of a riotous encounter between civilians and officers and men of the 55th and Royal Artillery""",,,missing,364,,0,0,0,,,,,,,,,,,
58,Letter,1764-03-15,S. William Johnson,David Van Der Heyden,Albany,yes,67,Rioting,Soldiers of Colonel Elliot's command,Civilians,,"38.998211, -72.224698","""giving a circumstantial account of outrages committed by soldiers of Colonel Elliot's command in the late riot and asking for orders""",,,missing,364,,0,0,0,,,,,,,,,,,
59,Letter,1764-03-16,Cadwallader Colden,S. William Johnson,Johnson Hall,yes,69,Skirmish,Thomas King and unknown Indigenous,"""Nine Delawares""",,"38.998211, -72.224698","""I have the pleasure to acquaint You that another Party of only ten headed by Thomas King which I had lately Sent out, met with a party of Nine Delawares who were Singing their War Song against the English, on which they imediately killed & Scalped One & took three Prisoners who are now on their way here, this is but a small affair, but as it is the first who has been killed by our Indians it will prove of some consequence, & I have reason to expect good news daily from the other Partys.""",,,reprint,364-365,,0,0,0,,,,,,,,,,,
60,Letter,1764-03-16,Thomas Gage,S. William Johnson,Johnson Hall,yes,69,Skirmish,Thomas King and 10 unknown Indigenous,"""9 Delawares""","""their Course towards the Settlements""","38.998211, -72.224698","""I have now the pleasure further to acquaint you that one of the partys I sent out of 10 Men headed by Thomas King have met with 9 Delawares bending their Course towards the Settlements, & singing their Warsong agt the English, our party imediately engaged them killed and Scalped one, and took three prisoners, who may be soon Expected, this is the first blood drawn by our Indians, and will prove of great consequence.""",,,reprint,369,,0,0,0,,,,,,,,,,,
60,Letter,1764-03-16,Thomas Gage,S. William Johnson,Johnson Hall,yes,66,Murder,"""a Small party of observation""",Unknown Euroamericans ,Fort Pitt,"40.44064, -80.00957","""It must have been but a Small party of observation who killed the Man at Fort Pitt, the Indians in General are retired a considerable distance from thence, & greatly alarmed about the security of their familys.""",,,reprint,372,,40.440644,-80.009644,1,rooftop,601,Commonwealth Pl,,,Pittsburgh,PA,Allegheny County,15222,US,Allegheny
61,Letter,1764-03-18,J. Stuart,S. William Johnson,Johnson Hall,no,,Hostilities ,Unknown Indigenous,Unknown Euroamericans ,,"38.998211, -72.224698","""mentioning Indian hostilities in the South and the need of cooperation among the colonies and suggesting French instigation""",,,missing,373,,0,0,0,,,,,,,,,,,
62,Letter,1764-03-21,S. William Johnson,John Kees,Aughquaga,no,,Attack,"""the Enemy"" Unkown Indigenous",Unknown Indigenous,Aughquaga,"42.125736, -75.643065","""The Indians of this Village are very mu[ch  ] of an Attact from the Enemy on Account of the [ ] Taken and one killed, at this Place.""",,,original,374,,42.126935,-75.643909,0.98,rooftop,2214,State Rte 79,,,Harpursville,NY,Broome County,13787,US,Broome
63,Letter,1764-03-26,S. William Johnson,Thomas Gage,New York,yes,69,Skirmish,Thomas King and 10 unknown Indigenous,Delawares,,"38.998211, -72.224698","""The Success of your small Party in taking two Enemy Indians Prisoners, & Scalping a Third Shews They are very much in earnest, and will have it's Consequences.""",,,reprint,378,,0,0,0,,,,,,,,,,,
64,Letter,1764-04-03,S. William Johnson,Francis Wade,Philadelphia,yes,48,Attack,Euroamericans,Conestoga Indians,,"38.998211, -72.224698","""a pamphlet called the Conduct of the Paxtoners""",,,missing,383,,0,0,0,,,,,,,,,,,
65,Letter,1764-04-04,S. William Johnson,Thomas Gage,New York,no,,"""Mischief""",Unknown Indigenous,Unknown,"""the frontiers of pensilvania""","38.998211, -72.224698","""The Enemy Indians have appeared again and done Some Mischief on the frontiers of pensilvania; On their going off, they left behind Three War Clubs, which I send to you, in hopes that you'll thereby be able to discover, to what Nation they belong.""",,,reprint,385,,0,0,0,,,,,,,,,,,
66,Letter,1764-04-07,S. William Johnson,"Henry Monture, John Johnson, William Hare",Diogoa,yes,77,Destruction,"Henry Monture, John Johnson, William Hare, unknown indigenous",Unknown Indigenous,,"38.998211, -72.224698","""We have Destroyd. three Lar[ge] Towns besides All there Little out Villages and Scattering inhabitents to the Number of one hundred and thirty.""",,,original,393,,0,0,0,,,,,,,,,,,
67,Letter,1764-04-20,Cadwallader Colden,S. William Johnson,Johnson Hall,yes,77,Destruction,"Henry Monture, John Johnson, William Hare, unknown indigenous",Delawares,"""Delaware settlements""","40.095341, -76.680286","""informing of the destruction of the Delaware settlements by Capt. Montour's Indians and rangers…also that the scalp brought by Montour's party is that of the chief Delaware's nephew.""",,,missing,400,,40.097567,-76.672165,0.86,nearest_street,525,N 2nd St,,,Bainbridge,PA,Lancaster County,17502,US,TIGER/Line® dataset from the US Census Bureau
68,Letter,1764-04-22,S. William Johnson,Thomas Gage,New York,yes,77,Destruction,"Henry Monture, John Johnson, William Hare, unknown indigenous",Delawares,"""the Cayuga Branch"" [of the Susquehanna River]","38.998211, -72.224698","""The driving off the Enemy from the Cayuga Branch will certainly be of very great Service to the Settlements…It's a Pity Capt. Montour was not able to destroy those Hornets, as well as destroying their Nests.""",,,reprint,403,,0,0,0,,,,,,,,,,,
69,Letter,1764-04-23,S. William Johnson,John Bradstreet,Schenectady,yes,80,Hostilities ,,,Detroit and Niagara,"43.262778, -79.063056","""apprising that hostilities are renewed at Detroit and Niagara, Indians threaten the carpenters building vessels at the latter place.""",,,missing,406,,43.261889,-79.062193,0.98,rooftop,6,Scott Ave,,,Youngstown,NY,Niagara County,14174,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
70,Letter,1764-04-27,Thomas Gage,S. William Johnson,Johnson Hall,yes,80,Attack,"Delawares, Unknown Indigenous",,Detroit and Niagara,"43.262778, -79.063056","""charging the renewed hostility at Niagara to fleeing Delawares, discussing the late attack on Detroit.""",,,missing,410,,43.261889,-79.062193,0.98,rooftop,6,Scott Ave,,,Youngstown,NY,Niagara County,14174,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
71,Letter,1764-05-06,S. William Johnson,William Howard,Michilmakinack,yes,82,Massacre,Unknown Indigenous,Unknown,Michilmakinack,"45.786944, -84.735556","""commending a chief who has been loyal and mentioning the desire of the Indians concerned in the massacre at that place to make their submission""",,,missing,417,,45.78669,-84.734829,0.99,rooftop,102,W Straits Ave,,,Mackinaw City,MI,Emmet County,49701,US,Emmet
72,Letter,1764-05-10,S. William Johnson,Edward Chinn,Montreal,yes,82,Massacre,Unknown Indigenous,"""traders""",Michilimakinac,"45.786944, -84.735556","""concerning a memorial to General Gage and the losses of traders at Michilimakinac""",,,missing,418,,45.78669,-84.734829,0.99,rooftop,102,W Straits Ave,,,Mackinaw City,MI,Emmet County,49701,US,Emmet
73,Letter,1764-05-15,S. William Johnson,A. M. C. Curot,Lac Huron,no,,Kidnapping,"""Indians of Baie de quinte""","""four English people""",Fort de Levi,"44.740861, -75.441667","""informing of the capture of four English people at Fort de Levi by Indians of Baie de quinte, the recovery of two, whom he will convey to Montreal""",,,missing,423,,44.730467,-75.446319,0.83,nearest_street,24,River Dr,,,Ogdensburg,NY,St. Lawrence County,13669,US,TIGER/Line® dataset from the US Census Bureau
74,Letter,1764-05-25,S. William Johnson,James Phyn,Schenectady,yes,85,Attack,"""an army""",Unknown Indigenous,"""100 miles above New Orleans""","30.899502, -91.592344","""giving information, brought by Henry Hambach,"" lately 'sent Prisoner to the Illinois,' of the defeat of an army by Indians about 100 miles above New Orleans""",,,missing,427,,0,0,0,,,,,,,,,,,
75,Letter,1764-05-25,Susquehanna & Delaware Company,Eliphalet Dyer,London,no,,"""Tumult, & Commotion""",Unknown,"""People on Susqu & Delaware""","""Susqh & Delaware [Rivers]""","42.453333, -74.607222","""you are Sensible that most Inoppertune was the Season in which I came here, the Indians [  ] in Tumult, & Commotion, the People on Susqh & Delaware killed, & drove of those lands.""",,,original,428,,42.454754,-74.60826,0.97,rooftop,213,Higgins Rd,,,Stamford,NY,Schoharie County,12167,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
76,Letter,1764-05-28,S. William Johnson,Thomas Gage,New York,yes,65,Kidnapping,"""the Messessagoes""","""our People""",Fort Wm. Augustus,"44.740861, -75.441667","""I suppose you would not venture on the North Side, till Matters are accomodated with the Messessagoes, you may remember they have Three of our People Prisoners, whom they took last autumn from Fort Wm: Augustus.""",Fall 1763,1763-09-22,reprint,432,,44.730467,-75.446319,0.83,nearest_street,24,River Dr,,,Ogdensburg,NY,St. Lawrence County,13669,US,TIGER/Line® dataset from the US Census Bureau
76,Letter,1764-05-28,S. William Johnson,Thomas Gage,New York,yes,85,attack,"""The Tonicas [Tunica]""",Major Loftus and Convoy,"""about 75 Leagues from New Orleans""","30.899502, -91.592344","""They have heared that Major Loftus was going up the Mississippi and it's surmised are gone with other Savages perhaps some of those on the Detroit to waylay the Convey, The Tonicas and other Indians below have saved them the Trouble, by attacking the Convoy about 75 Leagues from New Orleans, a few men killed & wounded. They could neither land or defend Themselves in their Boats. Major Loftus is returned to Pensacola. He must follow the French Method of paying Tribute to the Tribes who live on the Banks of the River He has not numbers to force his Passage, or would it answer our Purpose if He had.""",,,reprint,433,,0,0,0,,,,,,,,,,,
77,Letter,1764-05-31,William Eyre,S. William Johnson,Johnson Hall,yes,77,Destruction,"Henry Monture, John Johnson, William Hare, unknown indigenous",Delawares,"""the branches of the Susquehanna""","40.095341, -76.680286","""on the destruction of Delaware settlements along the branches of the Susquehanna""",,,missing,436,,40.097567,-76.672165,0.86,nearest_street,525,N 2nd St,,,Bainbridge,PA,Lancaster County,17502,US,TIGER/Line® dataset from the US Census Bureau
78,Letter,1764-06-03,S. William Johnson,Thomas Gage,New York,no,,Murder,"""some of the Indians of Susquehanna""",Unknown,"""the Head of Swetara""","40.186201, -76.733763","""The Savages have lately killed some women, & taken away two Children. At the Head of Swetara. From the Situation of that Place, it's thought They are some of the Indians of Susquehanna.""",,,reprint,440,,40.186399,-76.734477,0.96,nearest_street,777,S Union St,,,Middletown,PA,Dauphin County,17057,US,TIGER/Line® dataset from the US Census Bureau
79,Letter,1764-06-06,S. William Johnson,Ralph Burton,Montreal,yes,65,Kidnapping,"""Messasagoes""","""a Man and Woman""","""Oswegatge""","44.625556, -75.465278","""What those Messasagoes are so keen about making Peace for, is, to Trade at Fort Wm. Augustus which until affairs are settled would not be prudent. they have brought in a Man and Woman, they took from Oswegatge last Fall.""",Fall 1763,1763-09-22,reprint,441,,44.630444,-75.463612,0.88,nearest_street,76,Taylor Rd,,,Ogdensburg,NY,St. Lawrence County,13669,US,TIGER/Line® dataset from the US Census Bureau
80,Journal,1764-06-15,S. William Johnson,Daniel Claus,Montreal,yes,65,Kidnapping,"""hostile Missisagas""","""two prisoners""",,"44.625556, -75.465278","""also of the repentance of the lately hostile Missisagas and their surrender of two prisoners, the 15th, Montreal.""",,,missing,449,,44.630444,-75.463612,0.88,nearest_street,76,Taylor Rd,,,Ogdensburg,NY,St. Lawrence County,13669,US,TIGER/Line® dataset from the US Census Bureau
81,Letter,1764-06-18,Henry Bouquet,S. William Johnson,German flatts,yes,93,Attack,Unknown Euroamericans,"""30 Friend Indians""",,"38.998211, -72.224698","""I have this moment received a Letter from Niagara acquainting me that about a Week ago a party of 30 Friend Indians who were coming in to joyn the rest I sent there, on passing an Outpost sang their Song and discharged their pieces as is always customary; but the Sergeant who commanded mistaking them for an Enemy fired upon them and dangerously wounded three of the Indians; this is very unlucky, and I fear from the natural Jealousy of the Indians I shall have enough to do to convince them it was a mistake.""",approx. 06/11/1764,1764-06-11,reprint,451-452,,0,0,0,,,,,,,,,,,
82,Letter,1764-06-29,Thomas Gage,S. William Johnson,Oswego,yes,94,Murder,Unknown ,"""a soldier""",Oswego Carrying Place,"43.216667, -75.466667","""reporting…the killing of a soldier at the carrying place""",,,missing,453-454,,43.216535,-75.466666,1,rooftop,519,W Liberty St,,,Rome,NY,Oneida County,13440,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
82,Letter,1764-06-29,Thomas Gage,S. William Johnson,Oswego,yes,93,Attack,Unknown Euroamericans,"""an Indian band""","""on the road to Fort Schlosser""","43.187471, -79.029218","""the accident to an Indian band on the road to Fort Schlosser""",,,missing,454,,43.186927,-79.028878,0.99,rooftop,4665,W Park Dr,,,Lewiston,NY,Niagara County,14092,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
83,Letter,1764-07-15,S. William Johnson,Thomas Gage,New York,yes,94,Murder,Delawares,"an ""Artillery Man""",Oswego Carrying Place,"43.216667, -75.466667","""It's probable that the Artillery Man was killed by some of the Delawares, whom it is reported are encamped not far from the Chenussio Castle. I suppose, those, who were drove from the Susquehanna in the Spring, we had before advice that they wanted to come in a Body against the Carrying Place, but were prevented by the Senacas.""",,,reprint,482,,43.216535,-75.466666,1,rooftop,519,W Liberty St,,,Rome,NY,Oneida County,13440,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
83,Letter,1764-07-15,S. William Johnson,Thomas Gage,New York,yes,93,Attack,Unknown Euroamericans,"""our Friendly Tribes""",,"38.998211, -72.224698","""The Firing upon our Friendly Tribes, was an unlucky Accident and I fear will have occasioned a good deal of Trouble, to set Matters right.""",approx. 06/11/1764,1764-06-11,reprint,482,,0,0,0,,,,,,,,,,,
83,Letter,1764-07-15,S. William Johnson,Thomas Gage,New York,no,,"Attack, possibly murder","""Chippewas of Michillimakinak""","""a Frenchmen,"" unknown Euroamericans",Detroit,"42.329658, -83.047574","""I conclude you have seen all the News from the Detroit, some Chippewas and Pouteatamis had sued for Peace, but the former's Behavior don't shew them much in Earnest. They had exposed a Prisoner to sale, and shot a Frenchman for defending his Hog, at the same Time demanding Peace. Major Gladwin detained two of them, till they brought in the rest of their Prisoners. They belonged to the Chippewas of Michillimakinak, who have not yet thought fit to sue for Peace.""",,,reprint,482,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
84,Intelligence Report,1764-07-01,,S. William Johnson,Niagara ,no,,Murder,Delawares,presumably unknown Euroamericans,,"38.998211, -72.224698",""" [  ] that 4 of her children [  ] of which they killed 2 [   ] Mischief were Delaware [s  ] [  ] this Spring removed to [   ] used to beat the Prisoners & us [  ]."" *many lines burned off*",,,original,495,,0,0,0,,,,,,,,,,,
84,Intelligence Report,1764-07-01,,S. William Johnson,Niagara ,yes,100,"Kidnapping, Murder",Delawares,Eliza Carter and family,,"38.998211, -72.224698","""Eliza Carter 10 yrs. old born at Killinsworth N England taken last fall, her Mother was killed, & She & her Sister taken by the Delawares,--bought by a Mulatto at Chenussio for 5£. The Mulatto used her very well.--That 2 Women taken last War are married there--The Chenussios used her well, but the Delawares often beat her & knocked her down.""",,,original,496,,0,0,0,,,,,,,,,,,
84,Intelligence Report,1764-07-01,,S. William Johnson,Niagara ,yes,100,"Kidnapping, Murder",Delawares,Sarah Carter and family,Pennsylvania,"38.998211, -72.224698","""Sarah Carter, 13 Yrs. old taken in Pinsilvania by the Delawares last fall--her Mother was killed & her Sister of 8 years old & Brother of 5 years old is yet amst the Inds….That she was much beat & Abused by the Indians…""",approx. Fall of 1763,1763-09-22,original,497,,0,0,0,,,,,,,,,,,
84,Intelligence Report,1764-07-01,,S. William Johnson,Niagara ,no,,"Kidnapping, Murder",Delawares,Abraham Baldwin,"""Waywamuck on Susquehanna""","38.998211, -72.224698","""Abraham Baldwin of Waywamuck on Susquehanna aged 10 Years, taken last fall, as also His Father who was burned and his Mother Starved to Death. No Borthers, Sisters, or relations. He says that the Delawares used him ill, the Senecase very well.""",approx. Fall of 1763,1763-09-22,original,498,,0,0,0,,,,,,,,,,,
84,Intelligence Report,1764-07-01,,S. William Johnson,Niagara ,no,,Kidnapping,Unknown Indigenous,Isera Frim,"""Lackawack in pensilvania""","41.379974, -75.284994","""Isera Frim born in Bolton Connecticut--abt. 15 Years old was taken at Lackawack in pensilvania, last Fall.""",approx. Fall of 1763,1763-09-22,original,498,,41.376742,-75.277968,0.87,nearest_street,10,S Shore Dr,,,Lake Ariel,PA,Wayne County,18436,US,TIGER/Line® dataset from the US Census Bureau
85,Letter,1764-08-23,Cadwallader Colden,S. William Johnson,Johnson Hall,no,,Attack,"Cobus Maybe, unknown Euroamericans","""Conojohare"" Mohawk",Canajoharie,"42.906111, -74.571944","""Last night all the Cheifs of Conojohare came to acquaint me that they were often verry Ill treated, but particularly so of late, by one Cobus Maybe, who resides on part of their clear Lands, without any Title, notwithstanding their repeated desire that he should remove, and I have (since his Majestys Proclamation was published here) at ye. earnest request of the whole Castle, Wrote him several times to leave sd. place but. to no prupose. In short several of the White People in that Neighbourhood use them vastly Ill, by turning their Cattle into the Indians Corn fields, and beat their Women & Children when Driveing them out...""",,,reprint,513-514,,42.90609,-74.571719,1,rooftop,60,Church St,,,Canajoharie,NY,Montgomery County,13317,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
86,Letter,1764-09-01,Thomas Gage,S. William Johnson,Johnson Hall,yes,94,Murder,"""a party of Inds. From Scioto""",Unknown Euroamerican Soldier,Oswego Carrying Place,"43.216667, -75.466667","""It appears clearly that the Scalp taken on the Carrying place was done by a party of Inds. from Scioto who came to watch our Motions.""",,,reprint,518,,43.216535,-75.466666,1,rooftop,519,W Liberty St,,,Rome,NY,Oneida County,13440,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
87,Letter,1764-09-04,S. William Johnson,Thomas Gage,New York,no,,Murder,"""Ten Savages""",Unknown Euroamericans ,,"38.998211, -72.224698","""On Consideration of the Treaty it does not appear to me that the Ten Savages therein mentioned, were sent on the Errand of Peace…They certainly came to watch the Motions of the Troops, whatever Business they had besides. They tell Colo. Bradstreet an abominable Lye in saying they had called in their Partys, from our Frontiers to make Peace. They relate this on the 14th. of August, and Six men were killed on the 22d. besides a horrid Massacre a little before of a Number of Children in a school House, with the school-Master.""",approx. 08/22/1764,1764-08-22,reprint,524,,0,0,0,,,,,,,,,,,
88,Letter,1764-09-16,S. William Johnson,Thomas Gage,New York,no,,Murder,"""Inhabitants near Fort Cumberland""",Two Shawnee or Delaware,Fort Cumberland,"39.651, -78.7654","""I am pleased to see that you are in the same way of thinking as myself in Respect of the Shawnese and Delawares…Two of them were killed by the Inhabitants near Fort Cumberland on the 27th: ulmo:""",08/27/1764,1764-08-27,reprint,538,,39.651193,-78.765162,1,rooftop,7,Washington St,,,Cumberland,MD,Allegany County,21502,US,Statewide MD
